ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
1999-09-21,13.733629841115507,15.690988240955166,29.270860813957615,13.733629841115507,13.733629841115507,0.6170992791937285,0.6170992791937285,0.6170992791937285,0.012406381182334166,0.012406381182334166,0.012406381182334166,0.6046928980113944,0.6046928980113944,0.6046928980113944,0.0,0.0,0.0,22.20864291678137
1999-09-22,13.733750356845675,15.291175466838073,29.34274791556544,13.733750356845675,13.733750356845675,0.5893340544965724,0.5893340544965724,0.5893340544965724,-0.00030065994858066323,-0.00030065994858066323,-0.00030065994858066323,0.589634714445153,0.589634714445153,0.589634714445153,0.0,0.0,0.0,21.827517138089284
1999-09-23,13.733870872575844,14.626896854987256,28.106979908420172,13.733870872575844,13.733870872575844,0.5679110419034612,0.5679110419034612,0.5679110419034612,-0.006403302800007947,-0.006403302800007947,-0.006403302800007947,0.5743143447034691,0.5743143447034691,0.5743143447034691,0.0,0.0,0.0,21.53348778918799
1999-09-24,13.733991388306011,14.189398795640107,27.866355804570606,13.733991388306011,13.733991388306011,0.5371753364242947,0.5371753364242947,0.5371753364242947,-0.021546152139001556,-0.021546152139001556,-0.021546152139001556,0.5587214885632963,0.5587214885632963,0.5587214885632963,0.0,0.0,0.0,21.111552832767657
1999-09-25,13.73411190403618,13.829423728435714,28.081962877493318,13.73411190403618,13.73411190403618,0.5375959733274369,0.5375959733274369,0.5375959733274369,-0.005245551846686507,-0.005245551846686507,-0.005245551846686507,0.5428415251741234,0.5428415251741234,0.5428415251741234,0.0,0.0,0.0,21.117515160874447
1999-09-26,13.734232419766347,14.527614329858805,27.28066373081845,13.734232419766347,13.734232419766347,0.5368381468988984,0.5368381468988984,0.5368381468988984,0.010181840655590158,0.010181840655590158,0.010181840655590158,0.5266563062433083,0.5266563062433083,0.5266563062433083,0.0,0.0,0.0,21.107292301072484
1999-09-27,13.734352935496513,13.421086731110215,27.45990436593623,13.734352935496513,13.734352935496513,0.521052562930328,0.521052562930328,0.521052562930328,0.010907444896336639,0.010907444896336639,0.010907444896336639,0.5101451180339913,0.5101451180339913,0.5101451180339913,0.0,0.0,0.0,20.890672732726646
1999-09-28,13.73447345122668,13.481893982173737,27.41738284630377,13.73447345122668,13.73447345122668,0.5056921643442642,0.5056921643442642,0.5056921643442642,0.01240638118232712,0.01240638118232712,0.01240638118232712,0.49328578316193716,0.49328578316193716,0.49328578316193716,0.0,0.0,0.0,20.679889056906337
1999-09-29,13.734593966956849,13.249336482633032,27.08524648762982,13.734593966956849,13.734593966956849,0.47575520831651325,0.47575520831651325,0.47575520831651325,-0.0003006599485887566,-0.0003006599485887566,-0.0003006599485887566,0.476055868265102,0.476055868265102,0.476055868265102,0.0,0.0,0.0,20.268898580849132
1999-09-30,13.734714482687016,13.018461512150866,26.454810711449557,13.734714482687016,13.734714482687016,0.4520306568506551,0.4520306568506551,0.4520306568506551,-0.0064033028000209345,-0.0064033028000209345,-0.0064033028000209345,0.45843395965067596,0.45843395965067596,0.45843395965067596,0.0,0.0,0.0,19.943226491952235
